number,name,address,position_lat,position_lng,banking,bonus,bike_stands
85,"ROTHE ABBEY","Rothe Abbey",53.338776,-6.303950,0,0,35
86,"PARKGATE STREET","Parkgate Street",53.347972,-6.291804,0,0,38
87,"COLLINS BARRACKS MUSEUM","Collins Barracks Museum",53.347477,-6.285250,0,0,38
88,"BLACKHALL PLACE","Blackhall Place",53.348800,-6.281637,0,0,30
89,"FITZWILLIAM SQUARE EAST","Fitzwilliam Square East",53.335211,-6.250900,0,0,40
90,"BENSON STREET","Benson Street",53.344153,-6.233451,0,0,40
91,"SOUTH DOCK ROAD","South Dock Road",53.341833,-6.231291,0,0,30
92,"HEUSTON BRIDGE (NORTH)","Heuston Bridge (North)",53.347802,-6.292432,0,0,40
93,"HEUSTON STATION (CENTRAL)","Heuston Station (Central)",53.346603,-6.296924,0,0,40
94,"HEUSTON STATION (CAR PARK)","Heuston Station (Car Park)",53.346985,-6.297804,0,0,40
95,"ROYAL HOSPITAL","Royal Hospital",53.343897,-6.297060,0,0,40
96,"KILMAINHAM LANE","Kilmainham Lane",53.341805,-6.305085,0,0,30
97,"KILMAINHAM GAOL","Kilmainham Gaol",53.342113,-6.310015,0,0,40
98,"FREDERICK STREET SOUTH","Frederick Street South",53.341515,-6.256853,0,0,40
99,"CITY QUAY","City Quay",53.346637,-6.246154,0,0,30
100,"HEUSTON BRIDGE (SOUTH)","Heuston Bridge (South)",53.347106,-6.292041,0,0,25
101,"KING STREET NORTH","King Street North",53.350291,-6.273507,0,0,30
102,"WESTERN WAY","Western Way",53.354929,-6.269425,0,0,40
103,"GRANGEGORMAN LOWER (SOUTH)","Grangegorman Lower (South)",53.354663,-6.278681,0,0,40
104,"GRANGEGORMAN LOWER (CENTRAL)","Grangegorman Lower (Central)",53.355173,-6.278424,0,0,40
105,"GRANGEGORMAN LOWER (NORTH)","Grangegorman Lower (North)",53.355954,-6.278378,0,0,36
106,"RATHDOWN ROAD","Rathdown Road",53.358930,-6.280337,0,0,40
107,"CHARLEVILLE ROAD","Charleville Road",53.359157,-6.281866,0,0,40
108,"AVONDALE ROAD","Avondale Road",53.359405,-6.276142,0,0,35
109,"BUCKINGHAM STREET LOWER","Buckingham Street Lower",53.353331,-6.249319,0,0,29
110,"PHIBSBOROUGH ROAD","Phibsborough Road",53.356307,-6.273717,0,0,40
111,"MOUNTJOY SQUARE EAST","Mountjoy Square East",53.356717,-6.256359,0,0,40
112,"NORTH CIRCULAR ROAD (O'CONNELL'S)","North Circular Road (O'Connell's)",53.357841,-6.251557,0,0,30
113,"MERRION SQUARE SOUTH","Merrion Square South",53.338614,-6.248606,0,0,40
114,"WILTON TERRACE (PARK)","Wilton Terrace (Park)",53.333653,-6.248345,0,0,40
115,"KILLARNEY STREET","Killarney Street",53.354845,-6.247579,0,0,30
116,BROADSTONE,Broadstone,53.354700,-6.272314,0,0,30
117,"HANOVER QUAY EAST","Hanover Quay East",53.343653,-6.231755,0,0,40
507,"ORIEL STREET TEST TERMINAL","JCDecaux Ireland, 52 Oriel Street Lower, Dublin 1",53.354630,-6.242615,0,0,1
